pred_cells,gt_cells,pred_rows,gt_rows,pred_cols,gt_cols,pred_hdrs,gt_hdrs,pred_span,gt_span,category,image_id,teds,teds_s
18,10,5,3,4,4,1,0,True,True,row_oversplit,fintab_001285,0.3846,0.6538
30,166,10,29,3,6,1,0,False,True,span_loss,fintab_001155,0.5814,0.7674
26,42,9,7,3,7,1,0,True,True,column_drift,fintab_001138,0.6579,0.8421
20,42,4,11,5,4,1,0,False,True,span_loss,fintab_000618,0.6667,0.7407
68,24,17,4,4,7,1,0,False,True,span_loss,fintab_000753,0.0568,0.1364
177,82,59,21,3,4,3,0,False,True,span_loss,fintab_000340,0.098,0.5034
94,46,47,7,2,7,1,0,False,True,span_loss,fintab_001020,0.0391,0.4134
53,146,8,37,7,4,1,0,True,True,column_drift,fintab_000348,0.4062,0.8281
63,66,21,10,3,7,1,0,False,True,span_loss,fintab_000861,0.8506,0.9425
176,46,44,12,4,4,1,0,False,True,span_loss,fintab_000071,0.8789,0.9552
63,42,21,11,3,4,1,0,False,True,span_loss,fintab_000629,0.023,0.1034
128,49,28,8,5,7,1,0,True,True,column_drift,fintab_001152,0.5786,0.7925
48,353,12,24,4,15,3,0,False,True,span_loss,fintab_000247,0.6825,0.7619
85,53,17,8,5,7,1,0,False,True,span_loss,fintab_000983,0.8381,0.9333
19,117,4,24,5,5,1,0,True,True,row_merge,fintab_000513,0.2308,0.5
30,14,10,5,3,3,1,0,False,True,span_loss,fintab_001126,0.5814,0.7674
54,19,9,5,6,4,2,0,False,True,span_loss,fintab_000059,0.5152,0.7727
123,92,18,19,7,5,1,0,True,True,column_drift,fintab_000112,0.5764,0.8542
31,54,8,14,4,4,1,0,True,True,row_merge,fintab_001098,0.8333,0.881
175,19,44,12,4,2,1,0,True,True,column_drift,fintab_001087,0.1351,0.5495
351,104,33,35,11,3,1,0,True,True,column_drift,fintab_001260,0.3307,0.7158
60,23,20,5,3,5,2,0,False,True,span_loss,fintab_000970,0.2236,0.4534
55,42,14,11,4,4,1,0,True,True,cell_count_off,fintab_000601,0.6528,0.8889
126,50,14,13,9,4,3,0,False,True,span_loss,fintab_000966,0.6713,0.7692
153,28,18,5,10,7,3,0,True,True,column_drift,fintab_001168,0.1897,0.4483
92,106,23,36,4,3,3,0,False,True,span_loss,fintab_000145,0.4153,0.6017
48,74,12,13,4,6,3,0,False,True,span_loss,fintab_000204,0.7302,0.7619
48,55,12,15,4,4,3,0,False,True,span_loss,fintab_000259,0.6825,0.7619
68,112,17,19,4,6,1,0,False,True,span_loss,fintab_000749,0.0568,0.1364
30,22,10,6,3,4,1,0,False,True,span_loss,fintab_001035,0.6744,0.8372
22,63,6,11,4,6,1,0,True,True,column_drift,fintab_001195,0.871,0.871
39,98,8,25,5,4,1,0,True,True,row_merge,fintab_000774,0.68,0.78
204,54,51,14,4,4,3,0,False,True,span_loss,fintab_001100,0.186,0.3333
87,21,29,7,3,4,2,0,False,True,span_loss,fintab_000305,0.4516,0.6452
56,28,14,6,4,5,1,0,False,True,span_loss,fintab_000510,0.7397,0.8493
100,66,20,25,5,3,2,0,False,True,span_loss,fintab_000318,0.7317,0.8049
114,104,19,36,6,3,1,0,False,True,span_loss,fintab_000321,0.6838,0.8456
50,42,9,11,6,4,2,0,True,True,column_drift,fintab_000626,0.4677,0.5645
156,41,39,15,4,3,3,0,False,True,span_loss,fintab_000189,0.2222,0.3434
66,42,11,7,6,7,1,0,False,True,span_loss,fintab_001172,0.5625,0.825
285,27,57,6,5,5,1,0,False,True,span_loss,fintab_001102,0.3652,0.6899
20,84,3,17,7,5,1,0,True,True,column_drift,fintab_000572,0.2308,0.3462
84,46,12,12,7,4,1,0,False,True,span_loss,fintab_001075,0.4242,0.5152
64,38,16,8,4,5,3,0,False,True,span_loss,fintab_000233,0.7229,0.8193
159,37,11,13,16,3,2,0,True,True,column_drift,fintab_000068,0.1792,0.4682
52,54,13,14,4,4,1,0,False,True,span_loss,fintab_000990,0.7059,0.8529
123,94,16,19,9,5,2,0,True,True,column_drift,fintab_000186,0.331,0.5563
245,34,49,9,5,4,1,0,False,True,span_loss,fintab_001115,0.5067,0.7181
24,84,6,9,4,10,1,0,False,True,span_loss,fintab_000746,0.3636,0.4545
30,54,10,14,3,4,1,0,False,True,span_loss,fintab_000672,0.4828,0.6034
147,58,21,12,7,5,1,0,False,True,span_loss,fintab_000100,0.6199,0.7661
66,22,22,6,3,4,1,0,False,True,span_loss,fintab_001073,0.8791,0.9451
14,119,5,13,3,10,1,0,True,True,column_drift,fintab_000737,0.6364,0.8182
40,58,6,15,7,4,1,0,True,True,column_drift,fintab_000473,0.4898,0.6531
31,120,8,14,4,9,1,0,True,True,column_drift,fintab_000837,0.5238,0.7857
152,68,38,16,4,5,1,0,False,True,span_loss,fintab_000697,0.8446,0.9689
78,96,26,25,3,4,1,0,False,True,span_loss,fintab_001280,0.6075,0.7757
51,68,17,12,3,6,2,0,False,True,span_loss,fintab_000154,0.3467,0.6667
17,46,6,12,3,4,1,0,True,True,row_merge,fintab_000659,0.6923,0.8462
24,34,6,8,4,5,1,0,False,True,span_loss,fintab_000077,0.7273,0.7879
83,66,14,10,6,7,2,0,True,True,success,fintab_000058,0.58,0.79
